experiment_id,approach,model_name,dataset_name,passes_production_threshold,mlflow_run_id,notes,accuracy,precision_0,precision_1,recall_0,recall_1,f1_macro,f1_weighted,mcc,roc_auc,pr_auc,log_loss,ece,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms
spacy__xgboost,classical,spacy__xgboost,v1,True,33c0da008be349058c912cb85bbaa633,,0.8982097186700767,0.7933634992458521,0.9115724721261054,0.5334685598377282,0.9719204755072761,0.7893710430052656,0.8898712717441435,0.5968809852488746,0.9447939320189561,0.9883780735180481,0.2259285589488616,0.032539512566072445,4.215947460015741,3.8828064998597256,6.2308220500653935,13.918954000473605
tfidf_combined__svm,classical,tfidf_combined__svm,v1,True,3fc69adbf224488a9ce9e58c078c91be,,0.9462915601023018,0.8535300316122234,0.9641985353946297,0.821501014198783,0.9715105554416889,0.9025250186972471,0.9458795086946714,0.805275241431126,0.9790121757900212,0.9955262930539366,0.14063129376961664,0.020255129108532867,3.2876441060070647,3.2072040003185975,3.8056675001826075,7.819538000148896
tfidf_word__xgboost,classical,tfidf_word__xgboost,v1,True,c3ec972c3f17488b90d88763c93988ca,,0.90230179028133,0.7988422575976846,0.9161190568225744,0.5598377281947262,0.9715105554416889,0.8006602573444821,0.8951422267148613,0.6163549847966185,0.9471351742596805,0.9888761048858696,0.23139287725225108,0.04575482916788782,1.3248640419969888,1.3044615000126214,1.4637458000152037,5.822947000069689
tfidf_combined__xgboost,classical,tfidf_combined__xgboost,v1,True,4750e9b461b94f16a1b844c1d5cc020f,,0.925149190110827,0.82063305978898,0.9429369513168396,0.7099391480730223,0.9686411149825784,0.8584497614536787,0.9229457564269221,0.7198218800491931,0.9666115741304686,0.9930708484888637,0.18168875132745355,0.02944736776163661,2.6159757899977194,2.548236000166071,3.007595750045766,8.073813999999402
tfidf_char__xgboost,classical,tfidf_char__xgboost,v1,True,2ea3ed2d685b4784a2a03a47f4ff9f98,,0.9219096334185848,0.8113207547169812,0.9406019533585809,0.6977687626774848,0.9672063947530232,0.8519956511735132,0.9195161505235663,0.7071137964840742,0.9665484855199686,0.9931071925642194,0.18255921891516966,0.03284927938174758,1.6511071480013015,1.5529174999073803,2.01211600009401,6.972429999905216
papluca,transformer,papluca,v1,True,925b7603fee546b5ac61b1bc57e7634c,,0.954305200341006,0.8445297504798465,0.978021978021978,0.8924949290060852,0.9667964746874359,0.920113464069508,0.9548042196871629,0.8407208986309694,0.9866787411546026,0.997342647300179,0.11670651460538708,0.016775693957005573,55.48641403599686,55.75420709374157,58.923228875016775,58.923228875016775
xlmr-base,transformer,xlmr-base,v1,True,3f911810c29f4097a0aa4893fff9d9c1,,0.9560102301790281,0.8421052631578947,0.9812539054363674,0.9087221095334685,0.9655667144906743,0.9237467244507156,0.9566698772161993,0.848441936292504,0.9867507681843826,0.9973698891286297,0.11641164818801301,0.016201795854558918,54.068113430001176,53.98147565625777,62.10045550000132,62.10045550000132
tfidf_word__svm,classical,tfidf_word__svm,v1,True,5d611767ea964960bcf94b7a5e69f5cf,,0.9408354646206308,0.8263534218590398,0.9637740483012689,0.8204868154158215,0.9651567944250871,0.8939372974832221,0.9407512884232048,0.7878823502853771,0.9770828283819342,0.9951864304180282,0.14460503364815783,0.012596007878376819,2.1270869460122412,2.0946025001649105,2.398345749884356,2.96013299976039
xlmr-large,transformer,xlmr-large,v1,True,2f9e95ac7d6145f09c5dc798cef700f7,,0.9560102301790281,0.8382899628252788,0.9824598037168512,0.9148073022312373,0.9643369542939126,0.9240963920692701,0.9567654879833611,0.8494453739351762,0.9889163600927433,0.9977820838676181,0.11288156200321947,0.021345487623816873,197.73711386600553,198.4309152499577,201.28832031247157,201.28832031247157
mbert,transformer,mbert,v1,True,cc4af70f9b7949cca47ac13084f8ae07,,0.9560102301790281,0.8376623376623377,0.9826613745560894,0.9158215010141988,0.9641319942611191,0.9241542520173804,0.9567812772694968,0.8496156294606572,0.9884898104098909,0.9976991325190239,0.11490748411159467,0.020043787549234766,55.534855316003814,54.979029375033406,68.43988787500166,68.43988787500166
word2vec__xgboost,classical,word2vec__xgboost,v1,True,959ec28cfa9a432184747c769c308c60,,0.9130434782608695,0.7723112128146453,0.9376878381085955,0.6845841784989858,0.9592129534740725,0.8370673595450535,0.9109188027811763,0.6760882728519818,0.9584637892162753,0.9915388393575912,0.19326647095702443,0.01455227303884774,0.7832242239983316,0.7594474998313672,0.8466020998639577,4.011370000171155
tfidf_char__svm,classical,tfidf_char__svm,v1,True,ee92791b5a564af08fcd8ab00b7eae4e,,0.9277067348678601,0.7855691056910569,0.956361401352182,0.783975659229209,0.9567534330805493,0.8706644753266206,0.9276774448757978,0.7413295562966965,0.9722784280189096,0.9944929932641731,0.15978916791712364,0.010524517010031483,2.398205351999877,2.333311499910451,2.6892441000541107,9.515172999954302
spacy__svm,classical,spacy__svm,v1,True,4af74dfb93214e7bbed7af95334fe458,,0.8613810741687979,0.6415711947626841,0.8869432813094785,0.3975659229208925,0.9551137528182004,0.7053437867470964,0.8476711438072378,0.4317363941626266,0.8975692488443455,0.9779578294578256,0.28739662522243187,0.016879192149476738,4.41424836598344,4.27538000030836,5.311818150403269,10.579830999631668
word2vec__svm,classical,word2vec__svm,v1,True,23a340a07c6a4ce6b56bf40b3cd5294c,,0.8878090366581415,0.7029702970297029,0.9173422978050227,0.5760649087221096,0.9508095921295348,0.7834990090424874,0.8832481953622471,0.571687754613945,0.9315801420751352,0.9859245313149737,0.24255720298735525,0.01630923996854293,1.829867884007399,1.7659329998878093,2.2318805497889116,5.481287000293378
muril,transformer,muril,v1,False,cadb2c558c874352a830c7fe31ac2d90,,0.93384484228474,0.7551194539249146,0.9784785851267845,0.8975659229208925,0.9411764705882353,0.8898344995269257,0.9360530763697017,0.7844104634359647,0.9757275145748202,0.9949719816759648,0.1571005438213553,0.025878651496038838,54.05346876399199,54.25133243750224,56.185994031238806,56.185994031238806
tfidf_combined__lightgbm,classical,tfidf_combined__lightgbm,v1,False,5c101b036e3b431484d927b6f4a4c422,,0.9171355498721228,0.685459940652819,0.9862740757139694,0.9371196754563894,0.9130969460955114,0.870024820494637,0.9219653669309305,0.7557244378587079,0.97555020128073,0.9950733312216347,0.1872932504204628,0.06397995344568888,265.86866007599474,341.74235649993534,362.750018350107,386.148472000059
